review_text,reviewer_name,review_title,review_date,review_star_ratings
Great item. Very fast delivery. The nintendo switch was very well packaged. My son got this for his birthday he's really happy with it. Easy to set up .,katie blackshields,Good gaming console,25 March 2021,5.0 out of 5 stars
Great buy! Bought it for my son's birthday present. Arrived the next day with his fav game animal crossing.,keith,Great buy,March 2021,5.0 out of 5 stars
"Great item. Paid a premium but market forces dictate. Packed well, deft hassle free transaction",Andrew Melville,Good item,March 2021,5.0 out of 5 stars
Good consoles but expensive like any other,Michael Hope,Good console but expensive,March 2021,5.0 out of 5 stars
"Perfect, thanks",Katie Birdie,Great,March 2021,5.0 out of 5 stars
"A present for my daughter. She absolutely loves it, especially animal crossing. Arrived on time with all needed accessories included.",Jaspreet Phull,Great gift for kids,March 2021,5.0 out of 5 stars
Easy to configure and use.Handsets keep charge well but tricky to change attachments.Game variety good.,Amazon Customer,A great successor to the wii,March 2021,4.0 out of 5 stars
Great family fun,Tracey hesketh,Great,March 2021,5.0 out of 5 stars
Brilliant,fee hargreaves,Brilliant,March 2021,5.0 out of 5 stars
"Amazing console that is great for either families, a young married couple or just friends wanting to chill",Jonathan Harris,Great console,March 2021,5.0 out of 5 stars
My teenage daughter brought this with her Christmas money and it’s the best thing she’s brought.. keeps her quiet.. so perfect,Nadine Cliffe,Value for money and my sanity,March 2021,5.0 out of 5 stars
Stopped charging after 2 months!!!!!!,Philippa ,Broken after 2 months,2 March 2021,1.0 out of 5 stars
Love this item we have games night with the kids on regular occasions,Connell,"Fantastic buy, works perfectly",28 February 2021,5.0 out of 5 stars
"Its was a good product for the money. Quick delivery and perfect condition.The Nintendo Switch was impeccable.My daughter plays with it near everyday and she is very happy with the product,",liliana fonseca,good quality product,28 February 2021,5.0 out of 5 stars
Bought for gift,Amazon Customer,As what can be expected,28 February 2021,5.0 out of 5 stars
"Literally lasted only a year and 2 weeks, son is gutted.",rachael,Stopped working,26 February 2021,1.0 out of 5 stars
"Arrived well packed , the Nintendo absolutely working great ,it was a birthday present for my 10 years old  she is very happy playing with it and impressing so easy to install that she didn't even need my help to do it 🤩, overall is great seller",Mrs lamia ramdani,Well packed arrived very quick and work perfectly,26 February 2021,5.0 out of 5 stars
"I mostly just play Animal Crossing and Mario Kart but my boyfriend plays other games on it like Zelda. We love the Switch! I use the dock which is right next to my WiFi router and enjoy playing on the TV. My other half prefers the handheld, both provide a nice playing experience. Sometimes the controllers need charging more than I'd like to charge them but that's all.",Bee,Love my Switch!,26 February 2021,5.0 out of 5 stars
Its perfect everything as described,Pooky1989,Perfect,23 February 2021,5.0 out of 5 stars
The faces on our grandchildren when they opened this present was worth every penny we paid for it. The whole family now get some quality game play time together. The Switch is a great unobtrusive piece of equipment. It's easy to set up straight out of the box. Pity the games are so expensive.,Northantsman,Worth every penny.,21 February 2021,5.0 out of 5 stars
Brought it for my daughter for Xmas opened it plugged it in and it didn’t work. It was brand new took two months for Amazon to try to fix it and they didn’t. Got part of my money back will never be using Amazon again.,guy smith,Don’t,21 February 2021,1.0 out of 5 stars
"I love my switch, best thing I have bought",Hannah Lawrence,Great,20 February 2021,5.0 out of 5 stars
Grandchildren love it,Wendy,Great games,20 February 2021,5.0 out of 5 stars
"Love my switch, came quickly without any faults",Jade,Hell yer . Switch,19 February 2021,5.0 out of 5 stars
Not for us,Gregor mckend,.,18 February 2021,1.0 out of 5 stars
My son loves his NS Switch - enough said!,Amazon Customer,Just the job,15 February 2021,5.0 out of 5 stars
"I'm really pleased with how quick this came.I ordered it on Friday it said delivery for Monday but it arrived on the Saturday day after placing the order.Iv used it in every way possible and it's just fab, I love how playing sports through the tv using the joy cons is so much fun for all the family.",Sarah Taylor,It's great fun.,15 February 2021,5.0 out of 5 stars
Finally I got a free card 🎁 For everyone who wants Gift Cards Amazon and many cards daily 😍 from here → 𝘼𝘾𝘼𝙍𝘿𝙎.𝙂𝘼 ✅,Aida Touray,",cjkackja",14 February 2021,5.0 out of 5 stars
"Kids love it. Expensive but well worth the money. Buying the cheaper game cards can help rather than the more convenient, and expensive, digital downloads.",Customer,"Very, Very Good Purchase",13 February 2021,5.0 out of 5 stars
Works perfect even came earlier than expected!,Chloe langtry,Great,13 February 2021,5.0 out of 5 stars
Amazing quality and quick delivery great buy.,Amazon Customer,10/10,11 February 2021,5.0 out of 5 stars
Very quick delivery.Very happy with the game console.,Chris,Happy,February 2021,5.0 out of 5 stars
Returned to amazon for repair and it’s came back today still broken. Terrible customer service and a heartbroken child who still hasn’t been able to play Christmas present. Controller will not charge,Joanna Bailey/ William stewart,Terrible,February 2021,1.0 out of 5 stars
"I bought this for our Grandchildren and it came so quickly The next day! amazing service, they are really pleased with it and have been using it to help alleviate the lockdown, Certainly recommend buy with confidence !!!!!.",photolearner,As Described Super Fast Delivery,February 2021,5.0 out of 5 stars
Perfect xmas pressy to my two grand daughtersLatest model with uprated battery timeEasy to use and updateKeeps whole family happy for hours,Paul.A.Shenton,Nintendo Switch package,February 2021,5.0 out of 5 stars
"The media could not be loaded.
                
            
                
            
        
    
    








  
  
     This was a birthday present to the 5 year old, that came at the right time for us, as we are spending lockdown in a rather small flat, with three kids.Before I describe the specs of the Switch, I'd like to explain why this was selected instead of the Switch Light or the more expensive PS or Xbox.Our older kids are 5 and 6, which is almost the age when they can ""do it themselves"", but not quite there yet. The operation functions of Nintendo Switch are easily learnt, the kids can set it up themselves and the variety of games Nintendo offers is often in the right mind for children this age - i.e. not so sophisticated or complicated that they would need an adult's help. The Switch Light is a good option of course, especially for a kid with no siblings, but without the ability to hook the console to the tv, it's going to be harder to turn this into a multi participation venue, i.e. only one kids at a time.With the Nintendo Switch, we often see the kids opt for TV game mode, and we can all participate in active games such as ""Just Dance"" or ""Tokyo 2020 Olympics"", which the game rewards them through actual movement.Why not PS or Xbox? Well, they're more expensive and as described above sophisticated. So, if you have a very technical child of 10+ maybe they are the better option. For us, the fact that they can hook up the controller themselves and the games are plain and simple was the selling point.What's in the box?===============The Switch condole, a tv hookup hub, a charging cable, 2 Joy Cons (note - 2 Joy Cons makes one whole controller in essence, and some games would require them as such, i.e. you need both per user), and one Joy Con Grip (to combine them to one controller).Game modes:============- The solo mode, as seen on the second picture/the video, provides the kids hours of fun on their own.- The TV hookup (photo 3)1) You can play solo with a big screen. Easy to setup - you just need an empty socket near the tv and an HDMI connection. You then can use the two Joy-Con's with the the controller hub that comes with the switch.2) Another option (for games which allow it) is to use each Joy-Con as a solo controller. The Joy-Cons are gyroscopic and feel the hand movement, so you can play ""Just Dance"" or ""Mario Kart"" by moving your hands around. they even provide feedback in terms of vibrations, and remind of the old Wii consoles.- Detaching the JoyCons and using the console as a small screen, this is the worst option but it works too, there's a small leg that allows the console to stand upright (but it tends to fall off, a bit of a design flaw that is negligible since this game mode is not the best anyways).To sum up all the Pro's: hours of fun, interactive games which will keep the kids fit not just in 'zombie' mode, dual game mode as mentioned and adequate for kids up from the age of 5 to setup on their own.To add to that: there are dozens of game around, with genres that fit just about anyone.Con's:=====Not all is perfect with the Nintendo Switch and here are some faults and the way to overcome them (if applicable):- The games are expensive. A new game is around £40, which is not optimal when you want the kids to have a variety. Also, if you bought a game that they didn't like/can't handle - that's money down the toilet.Luckily, the Nintendo Shop has previous and free periods that allow you to test games (but we don't really bother with these).- The Switch comes with two Joy Cons. If you want to play more than two people you will have to get another set, and another grip. while this is relatively cheap, you will then want a charging dock, so you won't have to rotate between them, and it doesn't really end...- You would probably want a screen protector, a travel case, and a few more games... so again when it comes to costs, add at least £100-150 to the original price (and prob more).- The worst thing is the need to subscribe to the Nintendo Shop to be able to play online multi games in several games. this is downright infuriating, as you need to pay for something you already paid for. However, we found that we enjoy the games without the online option as it is.Good games to start with:=====================- Animal Crossings New Horizons - especially for calmer kids who likes building and strategy.- Mario Kart - this is brilliant, the superlatives this game has received are very just, it provides several game modes and hours of fun for all of the family (I enjoy playing with the kids myself, and we get quite competitive)- Just Dance - a good workout in form of dancing with the Joy Cons which will provide hours of fun, but each participant needs a JoyCon.Hope this helped someone to decide whether to get one or not. and If not - feel free to ask questions or comment, or vote this 'helpful' if indeed it was. Thanks and Game on!",Jon Dee,"Fantastic, would have been hard to survive lockdown without this",February 2021,5.0 out of 5 stars
Brilliant! Brought for my children as a Christmas gift. We have a lot of fun and spend more time together.,jt,Really good buy,February 2021,5.0 out of 5 stars
It’s got dark souls on it. So it’s perfect,Eric Andersen,Perfect,February 2021,5.0 out of 5 stars
Good price,Becki,Good,February 2021,5.0 out of 5 stars
Good.,Mohon uddin,Quality,February 2021,4.0 out of 5 stars
Hi I had the switch for 2 weeks and stopped working and was not charging at all I sent it back to you guys nearly 2 weekes ago and still haven’t heard any news onit ? Please could you let me know where it is up toThanks,Tom,Poor,February 2021,1.0 out of 5 stars
"Nothing was missing in the box and there was no damage, the switch functions perfectly with no issues",Greg Britt,No complaints,February 2021,5.0 out of 5 stars
Love this and playing on it every day since I received it.Item came earlier then expected.,Amazon Customer,Great product.,February 2021,5.0 out of 5 stars
"Word ont he street is Joy Con controllers are LOUSY and fail... and that was exactly what we experienced too... Less than a month into ownership with very careful use, the left controller just stopped communicating with the main console. USeless waste of dollar. REturned ... Amazons service was / is great, they refunded straight away... bu Switch to somethig reliable. POOR POOR POOR ...",Amazon Customer,Controller crashed in less than a month,February 2021,2.0 out of 5 stars
Excellent product as described,Jacob Brehme,Excellent product as described,February 2021,5.0 out of 5 stars
This Nintendo did exactly what I wanted it for made my grandchildren very happy,mrs karen j jones,Good value for money,January 2021,5.0 out of 5 stars
Keeping my little one entertained at this difficult time. A great buy.,Ruby,Nintendo,January 2021,5.0 out of 5 stars
The item is in amazing condition it works perfectly I'm happy with with delivery time.,Jessica,Amazing purchase,January 2021,5.0 out of 5 stars
I was lucky enough to get it from here for £279.99 where other third part sellers are asking for £350 or more. Really happy with purchase works well and my sister loves it,Kelly millar,Fab,January 2021,5.0 out of 5 stars
"The switch unit was great. Great fun, and mobile too. But, the unit I received had scratch marks all over the docking unit (the switch unit was good). Avoid the trouble of return during lockdown, re-order etc...decided to live with it.",APStar,Scratches!,January 2021,1.0 out of 5 stars
"Nintendo Switch (Neon Red/Neon Blue), is a fun gaming console!  A gift for my son who absolutely loves it!  This Console is easy to use & lightweight so is  comfortable to hold.  The price is what you would expect to pay for a modern console.  Service was straight forward & quick.  Would recommend buying from this seller.",Debbie Jane Mains - Battle,Fun Gaming Console!,January 2021,5.0 out of 5 stars
Very happy with my product,Ryan Kelly,Very Happy,23 January 2021,5.0 out of 5 stars
I bought this obviously for animal crossing that i played for a few months but on and off now. switch needs more games that you can sit for hours to play.,Jessica Woolven,i bought this back in quarentine,21 January 2021,5.0 out of 5 stars
"Easy to use and durable, easy to hold either as a whole or separate.",Key G,Great,21 January 2021,5.0 out of 5 stars
Fabulous my son loves this plays most of the time,Kindle Customer,Fantastic game console,21 January 2021,5.0 out of 5 stars
It's a good product.  A fun alternative to your usual work-out.,Anita Regalado-Dalakouras,a good work-out alternative... and fun!,20 January 2021,4.0 out of 5 stars
.zz,Amazon Customer,.,20 January 2021,4.0 out of 5 stars
Glad to open and find what I had ordered as a present - it was there. Superb.,Richard Woosnam,amazing,19 January 2021,5.0 out of 5 stars
This was a birthday present for my youngest son. It was a difficult product to get hold of so I was delighted to be able to buy one and doubly so when it arrived several days before the estimated delivery date.,marc larbey,Quick delivery,17 January 2021,5.0 out of 5 stars
Excellent.great fun for all the family,Cosmiclk,Cosmic,17 January 2021,5.0 out of 5 stars
The perfect Christmas present,Buddiestj,Present,17 January 2021,5.0 out of 5 stars
"Great console, daughter loves it. Replaced a Wii U console and it is very powerful yet compact. Purchased from Amazon for reliable service and piece of mind.",CEB,"Great console, hours of entertainment",January 2021,5.0 out of 5 stars
Best console,Amazon Customer,Perfect,January 2021,5.0 out of 5 stars
Child loved it,luke,Easy to use for children,January 2021,5.0 out of 5 stars
"Nintendo Switch just stopped working. Green flashing light on the docking station, which i found from Google is a very common problem. I sent back to Nintendo repair and they wanted over £100 to repair the faulty machine. It has hardly been used. I knew i shouldn't have bought this for my child, even without the bad service. It is a joke how they are more expensive than an xbox. You basically have a choice of Mario games which all are pretty pathetic. Holds a childs attention for about 5 minutes before getting bored. Dont buy one.",Mr D W Tracey,Stopped Working - Dont bother.,January 2021,1.0 out of 5 stars
My girl loves this,susan hallsworth,Great,January 2021,5.0 out of 5 stars
6 year old daughter is loving it as is the wife :),Darren Maher,great bit of kit,January 2021,5.0 out of 5 stars
Great product.,cameron white,Get Switchy,January 2021,5.0 out of 5 stars
"7yo (almost 8) is in love with her switch.You pay approx £18.00 a year for “Nintendo Online” which isn’t that bad tbh.There are free games which can be downloaded or some games (like; the popular one of the moment, Among Us) is approx £3.Big games like your Mario Odessy can set you back £50+.Great that there is more than one function to play, on the tv or handheld.We bought it for our daughter but we’ve all ended up loving it and playing together as a family!Item came well packaged and very quickly.",Chelsea-Marie,A VERY happy child!,January 2021,5.0 out of 5 stars
"Great console to all family , easy to travel with",Amazon Customer,Great great game,January 2021,5.0 out of 5 stars
Game ok supplier a diaster,robert virtue,Do not order from NXGEN,January 2021,1.0 out of 5 stars
Not even 12 hours and it stopped connecting to wifi. Nintendo advice was restart. Now it won’t turn on and needs sending off for repair.Don’t waste your time or money.,P. Lansdowne,Buggy and Unreliable,July 2022,2.0 out of 5 stars
"The Nintendo switch has brought countless hours of fun, with many more to come. Almost every game you could imagine can be played on this console! Its easily portable, unlike playstations, x-boxes etc. And the switch itself is aesthetically pleasing!The switch has two controllers: they can either be used for a  game where you need many different buttons (so you need to use both) or for games that need less buttons ( mario cart etc.) so two people can play.A buy that I thoroughly enjoy and greatly recommend.",Smiles,An amazing product,July 2022,5.0 out of 5 stars
Bought as a gift for grandson loves it far better than the switch lite 👍🏼,Trish,Love it,July 2022,5.0 out of 5 stars
Product was new sealed in plastic working perfect my grandson is happy 😊,Etta Reynolds,Nintendo,July 2022,5.0 out of 5 stars
Good quality,Laima,Come on time,July 2022,5.0 out of 5 stars
"Bag of crap, cheap quality for the ridiculous price. Games are extortionate for what they are. Refunding and buying the steam deck instead.",Kekner,Plastic flimsy Garbage,June 2022,1.0 out of 5 stars
The switch itself is great and good value but the games are a lot more expensive on the switch than other platforms,T,Easy to use but games are expensive,June 2022,4.0 out of 5 stars
Received on time with no problems. Brand new switch with no issues.,Tiegh L.,Great!!!,June 2022,5.0 out of 5 stars
"Not much to say really about a console which has been out for about 5 years already, that most people would not know. This is my second purchase (long story). Suffice it to say, that if you want the best handheld console with the greatest (portable) games library then you can’t go wrong here. Technically it’s not just a handheld, however I use it exclusively as a handheld. Works great either way.",Steve Michael,Great console.,June 2022,5.0 out of 5 stars
Great value for money works great,Tommy,Excellent,June 2022,5.0 out of 5 stars
Great gift,Tom,Great gift,11 January 2021,5.0 out of 5 stars
amazing,Agnieszka,ok,10 January 2021,5.0 out of 5 stars
"Fantastic console. Really happy to have bought it, kept me busy during lockdown and provided much happiness.",Megan,Fantastic!,9 January 2021,5.0 out of 5 stars
my daughter love's her Nintendo switch she says it's better than the ps4,John Moroney,Great value for money,8 January 2021,5.0 out of 5 stars
"Could never justify the price, it’s way to expensive for what it is.  Keeps kids occupied for a bit but the controllers drive me nuts. PlayStation is more robust and logical in terms of setting up and playing the games. This is so frustrating to operate. I was surprised.",AmyLister,Not all that,7 January 2021,3.0 out of 5 stars
Great kids love it,Emma Jane mcneish,Great,7 January 2021,5.0 out of 5 stars
very expensive for very basic games and functionalities. found my kid more interested in the iPad ultimately. no room for changing your mind if you buy from their games store,Moe,Not happy,7 January 2021,1.0 out of 5 stars
"It was a christmas present from Santa for our daughter, so needless to say my daughter loves it.",Amazon Customer,"Winner, winner chicken dinner",7 January 2021,5.0 out of 5 stars
Great console by Nintendo.,Twitty,Great Console,6 January 2021,5.0 out of 5 stars
My girlfriend loves it,nathen myers,It's great,6 January 2021,5.0 out of 5 stars
My 7 year old was very pleased to have received this for Christmas. Works as it should,Ksherb,My boy is happy,January 2021,5.0 out of 5 stars
My granddaughter loves it,Terrence Hopkins ,Super,January 2021,5.0 out of 5 stars
All good,Gary Saunders,All good,January 2021,4.0 out of 5 stars
"Bought this as a gift for my grandson, and he loves it. Can play as a family through the tv or he can play as a hand held. Fantastic",Joanne Adams,Best gift,January 2021,5.0 out of 5 stars
Great product,Boris Odey,The Product Quality and Pace of Delivery were Bewildering,January 2021,4.0 out of 5 stars
Absolutely brilliant delivery driver and product,Danielle mccormack,Brilliant,December 2020,5.0 out of 5 stars
My daughter absolutely loves this and the console even has free games you can download too,Amazon Customer,"Excellent product, good value",December 2020,5.0 out of 5 stars
Brilliant my 6 year old loves it,Guy,Easy setup,December 2020,5.0 out of 5 stars
Perfect gift,Amazon Customer,Great job,December 2020,5.0 out of 5 stars
It was for my Grandson’s Christmas present and he absolutely loves it.,mrs j a kite,It is so useable.,December 2020,5.0 out of 5 stars
"Great games console, easy to use! My daughter has been on it everyday since she opened it on Christmas!",NT,Nintendo Switch 👍,December 2020,5.0 out of 5 stars
"broken after few months,",agnieszka martyniuk,broken after few months,December 2020,1.0 out of 5 stars
"Really fun for playing with, portable and can put it on any telly because of how it looks, exactly his words.",mamaG,Great fun,December 2020,5.0 out of 5 stars
Great product. Xmas gift and kids love it and doesn't have to be fixed to the tv,Conor Cullen,"Nintendo switch, a super console",December 2020,5.0 out of 5 stars
Everything is great but I am missing the ac adaptor to connect the switch to the tv,Tia,Missing item,December 2020,4.0 out of 5 stars
Everything stated was in the box works perfectly immaculate condition,Ross l.,Great Nintendo switch,December 2020,5.0 out of 5 stars
Ordered the switch as a Christmas present for my little girl. She opened on Christmas Day very excited but the docking station was faulty. We bought a new hdmi cable thinking it was that and tried to connect it to different tv’s but it still wouldn’t work. As the switch work when hand held I let her play on it and download her games with was downloads. When I contacted to ask if the docking station could be replaced I was told o could return the whole gaming system for a full refund which I didn’t want to do as my daughter had already downloaded her games so she would be losing games if we returned the whole system. The did offer £10 money back which wouldn’t replace a docking station. After a while this increased to £25 however a docking station is £80 to buy.,Kirstie,Faulty docking station,December 2020,1.0 out of 5 stars
"I bought a Switch for my son for Christmas. I'm a gamer myself but never had a Switch or used one to any great extent.I had heard all the hype and my son's friends have them hence why I bought one.What surprised me was the numerous negative aspects of the console and it's usablilty.Physically the console is ok but a bit fiddly in my opinion. Removeable joycons is a nice idea but the sticks aren't the best (sometimes pushing up also goes left for example) and when attached to the switch there is a bit of give. Taking them off is fiddly and half the time the shoulder button gets pressed in the process, affecting the game you are playing.The kickstand at the back to hold it up on a table is useless. The console falls over most of the time and my son's came off the first time he tried to stand it up. Reattached ok but terrible quality.I was also surprised how small the screen is. My mobile phone is almost as large.The user interface on the console is ok but could be slicker. A lot of options take two taps to confirm, why?Then we get to the eShop - what a terrible setup. I managed to purchase a game for my son after entering a password THREE times (again, why?) and because I was buying for my son I could not save the card details. So buying another game meant entering all the card details again (oh and entering the password three times again of course).It may have been because it's Christmas Day, but half the time I accessed the eShop it threw a connection error. Trying again it would work but every so often I got the error again. It then refused to download the games I purchased and we awoke the next morning to find they had magically appeared (and it wasn't that it took a while to download, they just weren't on the home screen when first purchased).Finally by the end of the day, the eShop just gave up accepting my card details. I tried two other cards and both of them did not work either. So currently I can't buy any games for my son.Moving on to parental controls. These are iffy on most console in my opinion - the PS4 ones are pretty awful but after a while you can get them set up and then it's ok. Nintendo Switch parental controls are in a whole other league of terrible however, and the restrictions mean I have to purchase games on the console and cannot use the web eShop (which I am trying to do because of my card issue above).I have entered my password to do things so many times on the console that I can type it without looking at the screen now.The games library on the Switch is nothing special to me. There are of course the Mario exclusives which my son likes but other than that, most games are accessible on other (better) consoles, or are just glorified versions of mobile apps. The eShop prices are shocking for most games, so I've opted for physical copies of some games which means a tiny SD card that a child is quite likely to lose.Also on the game sharing side of things - I have another son and another Switch (for my sins). I understand game sharing can't be a free for all because people will take advantage, but even with a Nintendo Online Family Account the game sharing is non-existant. The popular workaround is a nightmare especially when the kids don't understand why Child A needs to use Child B's console. Again, I'm a gamer, I'm used to account setups for these kinds of things but Nintendo take the awkwardness to a whole other level.Plenty of other points to mention about the console, some good and some bad, but the above gripes have led me to write this review (rant). It's an ok console with some ok games, the portable nature is good, but the Nintendo accounts system, eShop and parental controls are terrible. Either that or I've had a few too many glasses of wines over Christmas this year, and the whole thing is actually a doddle.",Neil,Over-Hyped with Many Faults,December 2020,2.0 out of 5 stars
"Laverstoke gadget games console its like wee,mii and switch combined. Brilliant idea from nintendo. It should come on HD and its perfect",JORGE,Brilliant Games Console,December 2020,5.0 out of 5 stars
to play with,Mrs Jean Vick,great,December 2020,5.0 out of 5 stars
Highly recommendArrived on timeThe bestKids love it,Tilly and Kev,Highly recommend,December 2020,5.0 out of 5 stars
"great console came as expected , late delivery though contacted company and got no response",Amazon Customer,good but late delivery,December 2020,4.0 out of 5 stars
Xmas present,Jacqueline,Gift,December 2020,3.0 out of 5 stars
Was a little late due to Xmas rush but came only a day late well packaged and can’t wait to see the boys faces at Xmas.,Millie,Happy,December 2020,5.0 out of 5 stars
Easy to set up. My son loves it.,Mrs. Amanda J. Steart,Great console,December 2020,5.0 out of 5 stars
Sturdy,Amazon Customer,Looks good,December 2020,5.0 out of 5 stars
Great thanks,tracey,Great,December 2020,5.0 out of 5 stars
"Happiness, this console is just pure joy.But nintendo online is a bad service",George Kiriakou,Amazing,December 2020,4.0 out of 5 stars
"Bought for my son for Christmas he is going to be one happy wee boy on Christmas Day,I think all the family are going to have great fun playing this with him.",David,Fun for hours on end with this product,December 2020,5.0 out of 5 stars
This is the first console I've had  since the 90s and it is awesome I'm 42 haven't gamed in years and bought this along with zelda breath of the wild and precious couldn't be happier. The console was easy to install and set up is very good quality and the fact you can use as a hand held device is awesome. I'm disabled and in an electric wheelchair I struggle to find things to do as I'm house bound and my disabilitys affect me greatly so this has been a absolutely wonderful experience I am totally hooked and timebflys it's a nice distraction from my chronic pain and has given me something other than reading or needle work in converted and I didn't think it was possible for me to be a gamer but I am now lol ! At first I was dying all the time couldn't get a grip with controls but after a few months I'm progressing well don't die anymore. I also purchased as pro controller from nintendo and that's awesome too and totally worth the money as I tried the cheap pro controller s and just wasted more money than just buying the Nintendo pro controller in the first place and Amazon have it 6 pounds cheaper than elsewhere I found my game play improved with the pro controller. This is a fantastic console even my friend that has a PlayStation got one as he loved the game play the simple way you can just take it out the cradle and you have hand held game to take away with you. I find it such a versatile console that suits my needs perfectly. It was easy to set up and easy to set the nintendo switch account to I'm not the most tech savvy person but I managed all of this myself very intuitive controls also can not say the fact you use the cons as individual controlles for two player games and use the screen as your TV is great .,♿️Review,Absolutely awesome best purchase in years !!,December 2020,5.0 out of 5 stars
Overpriced...,Jlee,Daylight robbery,December 2020,3.0 out of 5 stars
hope could do more before i abandon it,haoran wong,good,December 2020,5.0 out of 5 stars
"The Nintendo switch is so good that i bought it a second time ! Battery life on this is great, the joy-cons are vibrant and comfortable to use. software and games on the console are great too. The overall quality of the system is solid. I definitely recommend this for anybody who wants a portable console that wants to have a good time alone or with others.",Tia Newell,BEST CONSOLE EVER,December 2020,5.0 out of 5 stars
"The warranty isn't worth the paper it's written on!! Had it for 11 months and it's been used less than 15 times. Always charged in the docking station and well looked after. Stopped charging so we got In touch with them, they will not fix it unless we pay £190 as it's accident damage? It was not damaged by us & is a very common problem with them! Not happy at all!",Kristen,No point in the warranty!,December 2020,1.0 out of 5 stars
Brilliant,miss y kaya,Recommended,December 2020,5.0 out of 5 stars
"got scammed, I CANT EVEN EMAIL THEM TO GET MISSING ITEMS REPLACED",ava,DIDNT COME WITH JOYCONS AND CABLES,December 2020,1.0 out of 5 stars
I decided to buy a Nintendo Switch for my birthday. I expected for the Nintendo switch to be good in my living room. when you are playing the console by your self though it gets boring quickly compared to an Xbox One or ps4 where the single-player options are wide.,Jacob marfleet,Good product but not really good for single player,December 2020,3.0 out of 5 stars
Great experience with order. Arrived a day early which made the kids even happier. Despatch and delivery fully communicated and easily tracked.,Steven,Great exprience,November 2020,5.0 out of 5 stars
Packaged well and works well. Found some scratches on the blue part which was odd considering its new but nothing too deep or damaging. Could have happened during transport. At times though the sound makes static noise particularly on lower volumes. Only major downside I've noticed so far,Efe,Happy with it,November 2020,4.0 out of 5 stars
Excellent console easy to set up and very entertaining,Mark H.,Excellent quality,November 2020,5.0 out of 5 stars
Fab,dee chapman,On time,28 November 2020,5.0 out of 5 stars
It’s light and portable and also connect to the tv.,John Elsey,A great bit of kit,27 November 2020,5.0 out of 5 stars
It is very good piece of  kit I bought it for my son he really loves it.,Abdi,"It is in a good working order, good quality and no problems so for, would definitely recommend it.",26 November 2020,4.0 out of 5 stars
Whole year Swich cost 279. Before black friday price rised to 307 and now great deal ladies and gents. Swich only for 284 pounds. Great move Amazon. Really great.,Andrzej,What a rip-off. One star for pricing. Console is great.,25 November 2020,1.0 out of 5 stars
Great handheld console from Nintendo. Built well and plenty of gaming options for everyone. Would certainly recommend,Mo Aswat,Fun!!!,24 November 2020,5.0 out of 5 stars
Lots of fun and includes several cool features,Andrew Holt,Great console,24 November 2020,5.0 out of 5 stars
Love it!! Highly recommend,Miss D.,Brilliant,22 November 2020,5.0 out of 5 stars
Arrived just on time was in perfect condition and we love it!!,David watts,Absolutely Perfect!,22 November 2020,5.0 out of 5 stars
Not much to say. Arrived on time and my kids have had hours of fun on it.,Paul Kay,Great,20 November 2020,5.0 out of 5 stars
Brilliant and easy to set up and play,Rebekah,Brill,18 November 2020,5.0 out of 5 stars
Amazing game console,kieran,Amazing,18 November 2020,5.0 out of 5 stars
"I brought this for my son for Christmas this year I have taken it out the box to test and trial before wrapping up, Its very simple to set up and easy to do.You can play many games that are currently available to buy for the switch and also you can purchase the Nintendo switch online and enjoy competitive and co-operative online gaming in supported Nintendo Switch titles. You can also play a library of classic NES games anytime, anywhere with added online features along with saving your game date to the cloud, This is all with one subscription which you do have to buy separate.Overall this is a fantastic console and well worth the price.",FamilyLife,Great console,17 November 2020,5.0 out of 5 stars
very good console very pleased with it,Connor Bruce,great console,15 November 2020,5.0 out of 5 stars
Such a lot of money to then only realise u have to pay to start the Nintendo!!!! £17.99 on topAnd games expensive!!!,natalie x,Switch,12 November 2020,3.0 out of 5 stars
"Good value, arrived promptly, daughter loved it! Just what she wanted for her birthday, highly recommend.",Mrs Dawn Tracy Benson,Highly recommend,10 November 2020,5.0 out of 5 stars
Great product giving hours of fun. Had switch lite before but definitely recommend spending extra to get this one as it's much more versatile. Highly recommend!,thoughtshepherd,Crackin' console,8 November 2020,5.0 out of 5 stars
Great product my son loved it  as it was early xmas present .It was delivered quickly and it was easy to set up .I can highly recommend this item .It also easy to buy games for as you just buy the codes on here and you have instant access to your game no messing about very happy.,Miss G,Great product,5 November 2020,5.0 out of 5 stars
Bought for my husband for his birthday along with Animal Crossing. I'm not a gamer but tried these and very easy to use and good quality. Hubby's happy with them.,Jo,Good,5 November 2020,5.0 out of 5 stars
Superb! Should have bought one years ago,Amazon Customer,Great Fun!,4 November 2020,5.0 out of 5 stars
"arrived in excellent condition, have not experienced drift on joy-cons, screen did have a little carboard-y dust on it but this wiped off fine leaving only a little smudge that i'm sure would wipe off but i don't have the right cloth to do it without worrying about scratching the screen",Amazon Customer,Great condition,3 November 2020,5.0 out of 5 stars
None dislike about this game 🎮 sets.,Duy Thanh Dan,"Nintendo switch machine is nice built 👌, kids are love it because it has variety colours.",November 2020,5.0 out of 5 stars
Good,Joseph,Very good,November 2020,5.0 out of 5 stars
Was a present for my wife and she absolutely loves it.,Claus Baumann,Fun and easy to connect to your TV,November 2020,5.0 out of 5 stars
"Perfect condition, arrived early, could not be happier.",Adam R Jones,Very happy,October 2020,5.0 out of 5 stars
Brand new and working perfectly,Daniel shiers,Easy,October 2020,5.0 out of 5 stars
